IntensityIn IntensityOut Luminance
2.568551155870908431e-01 4.000000000000000222e-01 6.098333333333332718e+01
2.595407034409094593e-01 4.039215686274509887e-01 6.203666666666666174e+01
2.640421149004348877e-01 4.078431372549019551e-01 6.288666666666666316e+01
2.676890211337453196e-01 4.117647058823529216e-01 6.372666666666665947e+01
2.712748912794689660e-01 4.156862745098038880e-01 6.495000000000000284e+01
2.765087357900358755e-01 4.196078431372549100e-01 6.602666666666665662e+01
2.811169604028381785e-01 4.235294117647058765e-01 6.698000000000000398e+01
2.852063782711528050e-01 4.274509803921568429e-01 6.802333333333332632e+01
2.896772716868848963e-01 4.313725490196078649e-01 6.920999999999999375e+01
2.947585259784847866e-01 4.352941176470588314e-01 7.025666666666666060e+01
2.992294193942168223e-01 4.392156862745097978e-01 7.164000000000000057e+01
3.051499198901350685e-01 4.431372549019607643e-01 7.225666666666667481e+01
3.077897306782635400e-01 4.470588235294117307e-01 7.358999999999998920e+01
3.134966048676279815e-01 4.509803921568627527e-01 7.431333333333333258e+01
3.165941863126573441e-01 4.549019607843137192e-01 7.548000000000000398e+01
3.215838864728771118e-01 4.588235294117646856e-01 7.641666666666667140e+01
3.255970092317082565e-01 4.627450980392157076e-01 7.730333333333332746e+01
3.293965056839856520e-01 4.666666666666666741e-01 7.859333333333331950e+01
3.349202716105897371e-01 4.705882352941176405e-01 7.956333333333331836e+01
3.390707255664912045e-01 4.745098039215686070e-01 8.059666666666664980e+01
3.434958419165331511e-01 4.784313725490195734e-01 8.181000000000000227e+01
3.486839093614099161e-01 4.823529411764705954e-01 8.293666666666665321e+01
3.535057602807660238e-01 4.862745098039215619e-01 8.413333333333332575e+01
3.586327916380560032e-01 4.901960784313725283e-01 8.515999999999999659e+01
3.630273899443045571e-01 4.941176470588235503e-01 8.600666666666666060e+01
3.666437781338215962e-01 4.980392156862745168e-01 8.720999999999999375e+01
3.718013275349050240e-01 5.019607843137254832e-01 8.877666666666665662e+01
3.785152971694514257e-01 5.058823529411764497e-01 8.912000000000000455e+01
3.799801632715342770e-01 5.098039215686274161e-01 8.984666666666664980e+01
3.830930037384603914e-01 5.137254901960783826e-01 9.150333333333333030e+01
3.901731898985275060e-01 5.176470588235293491e-01 9.223999999999999488e+01
3.933318074311436541e-01 5.215686274509804266e-01 9.337000000000000455e+01
3.981689173723964026e-01 5.254901960784313930e-01 9.497666666666667368e+01
4.050507362478065199e-01 5.294117647058823595e-01 9.574000000000000909e+01
4.083161669336995425e-01 5.333333333333333259e-01 9.672666666666667368e+01
4.125429159990844363e-01 5.372549019607842924e-01 9.851333333333333542e+01
4.201876859693293720e-01 5.411764705882352589e-01 9.976999999999999602e+01
4.255588616769664934e-01 5.450980392156862253e-01 1.002666666666666657e+02
4.276951247425039848e-01 5.490196078431373028e-01 1.012999999999999972e+02
4.321202410925459869e-01 5.529411764705882693e-01 1.024000000000000199e+02
4.368200198367284681e-01 5.568627450980392357e-01 1.034666666666666544e+02
4.413824673838406820e-01 5.607843137254902022e-01 1.046666666666666714e+02
4.465247577630274134e-01 5.647058823529411686e-01 1.057999999999999972e+02
4.513771267261768583e-01 5.686274509803921351e-01 1.072000000000000028e+02
4.573739223315785307e-01 5.725490196078431016e-01 1.087000000000000028e+02
4.637979705500877570e-01 5.764705882352940680e-01 1.095999999999999801e+02
4.676432440680552416e-01 5.803921568627450345e-01 1.112000000000000028e+02
4.744945448996719106e-01 5.843137254901961120e-01 1.115666666666666629e+02
4.760662241550316365e-01 5.882352941176470784e-01 1.130000000000000000e+02
4.822003509575036317e-01 5.921568627450980449e-01 1.142000000000000028e+02
4.873273823147936112e-01 5.960784313725490113e-01 1.152333333333333343e+02
4.917524986648355578e-01 5.999999999999999778e-01 1.165999999999999801e+02
4.976119630731670185e-01 6.039215686274509443e-01 1.179333333333333371e+02
5.033188372625314599e-01 6.078431372549019107e-01 1.187999999999999972e+02
5.070267795834286773e-01 6.117647058823529882e-01 1.202000000000000028e+02
5.130235751888303497e-01 6.156862745098039547e-01 1.227000000000000028e+02
5.237201495384146144e-01 6.196078431372549211e-01 1.235999999999999801e+02
5.275654230563820990e-01 6.235294117647058876e-01 1.252999999999999972e+02
5.348439765011062663e-01 6.274509803921568540e-01 1.261333333333333258e+02
5.384145876249332163e-01 6.313725490196078205e-01 1.272333333333333343e+02
5.431296253910123939e-01 6.352941176470587870e-01 1.285000000000000000e+02
5.485465781643397154e-01 6.392156862745097534e-01 1.298333333333333428e+02
5.542534523537041569e-01 6.431372549019607199e-01 1.309000000000000057e+02
5.588158999008163708e-01 6.470588235294117974e-01 1.320000000000000000e+02
5.635309376668955483e-01 6.509803921568627638e-01 1.333000000000000114e+02
5.691004806591897225e-01 6.549019607843137303e-01 1.343333333333333428e+02
5.735103379873349727e-01 6.588235294117646967e-01 1.355000000000000000e+02
5.785152971694514923e-01 6.627450980392156632e-01 1.369333333333333087e+02
5.846494239719234320e-01 6.666666666666666297e-01 1.386999999999999886e+02
5.922026398107881340e-01 6.705882352941175961e-01 1.394000000000000057e+02
5.952086671244373184e-01 6.745098039215686736e-01 1.405999999999999943e+02
6.003356984817272979e-01 6.784313725490196401e-01 1.425000000000000000e+02
6.084687571526664618e-01 6.823529411764706065e-01 1.430000000000000000e+02
6.106202792401007606e-01 6.862745098039215730e-01 1.443000000000000114e+02
6.161745632104982384e-01 6.901960784313725394e-01 1.454333333333333371e+02
6.210269321736476833e-01 6.941176470588235059e-01 1.471999999999999886e+02
6.285954070344090816e-01 6.980392156862744724e-01 1.478000000000000114e+02
6.311589227130540714e-01 7.019607843137254388e-01 1.496333333333333258e+02
6.390173189898527006e-01 7.058823529411764053e-01 1.503000000000000114e+02
6.418707560845350324e-01 7.098039215686274828e-01 1.515666666666666629e+02
6.472877088578622429e-01 7.137254901960784492e-01 1.529000000000000057e+02
6.529945830472266843e-01 7.176470588235294157e-01 1.540666666666666913e+02
6.579842832074463965e-01 7.215686274509803821e-01 1.553666666666666742e+02
6.635538261997405707e-01 7.254901960784313486e-01 1.564000000000000057e+02
6.679789425497825173e-01 7.294117647058823151e-01 1.580999999999999943e+02
6.752574959945067956e-01 7.333333333333332815e-01 1.589000000000000057e+02
6.786755168993667819e-01 7.372549019607843590e-01 1.601999999999999886e+02
6.842450598916609561e-01 7.411764705882353255e-01 1.613666666666666742e+02
6.892347600518806683e-01 7.450980392156862919e-01 1.624333333333333087e+02
6.937972075989928822e-01 7.490196078431372584e-01 1.641333333333333258e+02
7.010757610437170495e-01 7.529411764705882248e-01 1.655000000000000000e+02
7.069352254520485657e-01 7.568627450980391913e-01 1.668666666666666742e+02
7.127794308384832744e-01 7.607843137254901578e-01 1.679000000000000057e+02
7.172045471885252210e-01 7.647058823529411242e-01 1.695000000000000000e+02
7.240558480201418901e-01 7.686274509803920907e-01 1.708000000000000398e+02
7.296101319905393678e-01 7.725490196078431682e-01 1.720666666666666913e+02
7.350423437857633857e-01 7.764705882352941346e-01 1.739000000000000057e+02
7.428854810406653186e-01 7.803921568627451011e-01 1.750000000000000000e+02
7.476005188067444962e-01 7.843137254901960675e-01 1.761999999999999602e+02
7.527275501640344757e-01 7.882352941176470340e-01 1.774333333333333087e+02
7.580071717402914189e-01 7.921568627450980005e-01 1.789000000000000057e+02
7.642938887617303223e-01 7.960784313725489669e-01 1.803000000000000398e+02
7.702754253452354094e-01 8.000000000000000444e-01 1.819000000000000057e+02
7.771267261768520784e-01 8.039215686274510109e-01 1.829000000000000057e+02
7.814145113298237577e-01 8.078431372549019773e-01 1.844333333333333087e+02
7.879758907454031958e-01 8.117647058823529438e-01 1.855999999999999943e+02
7.929655909056229079e-01 8.156862745098039102e-01 1.869000000000000057e+02
7.985351338979171931e-01 8.196078431372548767e-01 1.883000000000000398e+02
8.045319295033188656e-01 8.235294117647058432e-01 1.895666666666666913e+02
8.099488822766460761e-01 8.274509803921568096e-01 1.914333333333333087e+02
8.179446097505149726e-01 8.313725490196077761e-01 1.920999999999999943e+02
8.207980468451971934e-01 8.352941176470588536e-01 1.935666666666666913e+02
8.270695048447394004e-01 8.392156862745098200e-01 1.945666666666666913e+02
8.313572899977111907e-01 8.431372549019607865e-01 1.959000000000000057e+02
8.370641641870756322e-01 8.470588235294117530e-01 1.971999999999999602e+02
8.426184481574731100e-01 8.509803921568627194e-01 1.985000000000000000e+02
8.481879911497672841e-01 8.549019607843136859e-01 1.996999999999999602e+02
8.533302815289539600e-01 8.588235294117646523e-01 2.008666666666666742e+02
8.583199816891736722e-01 8.627450980392157298e-01 2.021999999999999602e+02
8.640268558785382247e-01 8.666666666666666963e-01 2.034333333333333087e+02
8.693064774547951679e-01 8.705882352941176627e-01 2.046999999999999602e+02
8.747234302281223783e-01 8.745098039215686292e-01 2.064000000000000057e+02
8.820019836728465457e-01 8.784313725490195957e-01 2.071999999999999602e+02
8.854352635996032284e-01 8.823529411764705621e-01 2.084000000000000057e+02
8.905622949568932079e-01 8.862745098039215286e-01 2.096666666666666572e+02
8.959945067521172257e-01 8.901960784313724950e-01 2.109000000000000057e+02
9.012741283283741689e-01 8.941176470588234615e-01 2.120666666666666913e+02
9.062638284885938811e-01 8.980392156862745390e-01 2.133666666666666742e+02
9.118333714808880552e-01 9.019607843137255054e-01 2.145000000000000000e+02
9.166857404440375001e-01 9.058823529411764719e-01 2.155000000000000000e+02
9.209582665751124830e-01 9.098039215686274384e-01 2.170000000000000000e+02
9.273823147936217648e-01 9.137254901960784048e-01 2.181333333333333258e+02
9.322346837567712097e-01 9.176470588235293713e-01 2.193000000000000398e+02
9.372243839169909219e-01 9.215686274509803377e-01 2.204000000000000057e+02
9.419394216830700994e-01 9.254901960784314152e-01 2.216999999999999602e+02
9.474937056534675772e-01 9.294117647058823817e-01 2.229333333333333087e+02
9.527733272297245204e-01 9.333333333333333481e-01 2.240000000000000000e+02
9.573510337987335417e-01 9.372549019607843146e-01 2.249000000000000057e+02
9.611963073167010263e-01 9.411764705882352811e-01 2.257666666666666515e+02
9.649042496375982436e-01 9.450980392156862475e-01 2.265999999999999943e+02
9.684748607614251936e-01 9.490196078431372140e-01 2.275666666666666913e+02
9.726100556954299092e-01 9.529411764705881804e-01 2.280333333333333314e+02
9.746089875638971334e-01 9.568627450980391469e-01 2.288333333333333428e+02
9.780270084687571197e-01 9.607843137254902244e-01 2.294000000000000057e+02
9.804531929503318421e-01 9.647058823529411908e-01 2.300000000000000000e+02
9.830319676508735283e-01 9.686274509803921573e-01 2.305333333333333314e+02
9.853055619134813981e-01 9.725490196078431238e-01 2.313000000000000398e+02
9.885862516212711171e-01 9.764705882352940902e-01 2.320000000000000000e+02
9.915922789349203015e-01 9.803921568627450567e-01 2.325000000000000000e+02
9.937285420004577929e-01 9.843137254901960231e-01 2.328333333333333428e+02
9.951628900587472515e-01 9.882352941176471006e-01 2.331999999999999602e+02
9.967193102922102810e-01 9.921568627450980671e-01 2.335000000000000000e+02
9.980163271534294722e-01 9.960784313725490335e-01 2.339666666666666686e+02
