IntensityIn IntensityOut Luminance
7.471732661936369979e-01 8.352941176470588536e-01 1.836666666666666572e+02
7.562371252002746402e-01 8.392156862745098200e-01 1.848333333333333428e+02
7.610437170977339960e-01 8.431372549019607865e-01 1.863000000000000398e+02
7.670862897688258686e-01 8.470588235294117530e-01 1.883000000000000398e+02
7.753414206149386034e-01 8.509803921568627194e-01 1.899000000000000057e+02
7.819333180743114342e-01 8.549019607843136859e-01 1.913000000000000398e+02
7.877012283512626611e-01 8.588235294117646523e-01 1.933333333333333428e+02
7.960784313725489669e-01 8.627450980392157298e-01 1.948000000000000398e+02
8.021362630655375359e-01 8.666666666666666963e-01 1.963666666666666742e+02
8.085908293278400993e-01 8.705882352941176627e-01 1.980000000000000000e+02
8.153200579842831974e-01 8.745098039215686292e-01 1.998666666666666742e+02
8.230258640421148630e-01 8.784313725490195957e-01 2.016999999999999602e+02
8.305790798809796760e-01 8.823529411764705621e-01 2.030666666666666913e+02
8.362096589608606356e-01 8.862745098039215286e-01 2.046333333333333258e+02
8.426642252231631991e-01 8.901960784313724950e-01 2.063000000000000398e+02
8.495460440985732609e-01 8.941176470588234615e-01 2.081666666666666572e+02
8.572365911345082301e-01 8.980392156862745390e-01 2.100333333333333314e+02
8.649271381704433104e-01 9.019607843137255054e-01 2.115999999999999943e+02
8.713817044327458738e-01 9.058823529411764719e-01 2.127666666666666515e+02
8.762035553521019260e-01 9.098039215686274384e-01 2.149666666666666686e+02
8.852674143587395683e-01 9.137254901960784048e-01 2.165999999999999943e+02
8.919966430151827774e-01 9.176470588235293713e-01 2.182333333333333485e+02
8.987411306935225719e-01 9.215686274509803377e-01 2.200000000000000000e+02
9.060196841382467392e-01 9.254901960784314152e-01 2.216999999999999602e+02
9.130235751888303719e-01 9.294117647058823817e-01 2.235000000000000000e+02
9.204394598306248065e-01 9.333333333333333481e-01 2.250333333333333314e+02
9.267719539177539101e-01 9.372549019607843146e-01 2.265000000000000000e+02
9.328145265888456716e-01 9.411764705882352811e-01 2.279000000000000057e+02
9.385824368657968986e-01 9.450980392156862475e-01 2.292666666666666515e+02
9.442130159456778582e-01 9.490196078431372140e-01 2.305666666666666913e+02
9.495841916533149796e-01 9.529411764705881804e-01 2.318333333333333428e+02
9.548027771419852483e-01 9.568627450980391469e-01 2.330333333333333314e+02
9.597467002365148714e-01 9.607843137254902244e-01 2.337333333333333485e+02
9.626306553749904849e-01 9.647058823529411908e-01 2.348000000000000398e+02
9.670252536812390387e-01 9.686274509803921573e-01 2.358333333333333428e+02
9.712825207904173253e-01 9.725490196078431238e-01 2.368000000000000398e+02
9.752803845273517735e-01 9.764705882352940902e-01 2.381999999999999602e+02
9.810482948043030005e-01 9.803921568627450567e-01 2.390999999999999943e+02
9.847562371252003288e-01 9.843137254901960231e-01 2.401999999999999602e+02
9.892881666285191500e-01 9.882352941176471006e-01 2.412333333333333485e+02
9.935454337376974365e-01 9.921568627450980671e-01 2.419666666666666686e+02
9.965667200732433173e-01 9.960784313725490335e-01 2.426999999999999602e+02
9.995880064087891981e-01 1.000000000000000000e+00 2.428000000000000398e+02
